<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
a	248821
.	138031
in	76615
the	57292
on	42030
and	40441
man	39204
is	37760
of	35584
with	33169
,	23199
woman	20316
two	19598
are	18480
to	16156
people	15899
at	15019
an	14942
wearing	14323
young	12023
white	12010
shirt	11978
black	11189
while	10751
his	10482
blue	10348
red	9272
men	8826
sitting	8782
girl	8687
boy	8435
standing	8274
dog	8210
playing	7881
street	7294
group	7232
down	7098
front	6992
her	6791
walking	6766
holding	6325
one	5925
water	5397
by	5271
three	5224
women	4900
green	4799
up	4783
as	4710
looking	4669
child	4602
for	4487
large	4366
little	4293
outside	4272
yellow	4139
person	4068
brown	4021
children	3997
through	3957
from	3722
their	3702
hat	3697
other	3601
ball	3595
next	3447
small	3442
into	3383
over	3359
out	3280
some	3261
dressed	3220
building	3070
running	3056
jacket	3050
another	3042
riding	3024
around	2906
orange	2833
field	2733
near	2720
crowd	2705
stands	2667
beach	2626
background	2614
behind	2613
pink	2602
sidewalk	2573
table	2514
jumping	2407
sits	2386
grass	2355
girls	2335
that	2314
bike	2304
snow	2294
top	2289
looks	2272
air	2171
camera	2167
city	2157
stand	2134
wall	2132
asian	2130
older	2114
dogs	2104
player	2094
it	2065
&apos;s	2060
working	2046
has	2016
hair	2015
four	1998
dress	1990
off	1972
soccer	1943
something	1942
several	1938
gray	1921
talking	1907
lady	1886
pants	1877
park	1864
him	1861
shorts	1857
walks	1845
guitar	1829
picture	1805
boys	1797
hand	1795
jeans	1756
smiling	1740
plays	1732
along	1717
play	1708
game	1665
food	1662
side	1661
road	1644
car	1630
together	1629
carrying	1622
them	1607
bench	1594
holds	1591
walk	1571
&quot;	1570
old	1517
glasses	1516
baby	1511
there	1506
stage	1486
face	1478
head	1470
sit	1464
blond	1447
back	1422
bicycle	1422
hands	1400
taking	1394
watching	1382
pool	1378
couple	1371
male	1366
doing	1360
tree	1356
baseball	1351
ground	1350
rock	1342
guy	1341
each	1322
area	1318
who	1308
he	1301
day	1286
female	1282
boat	1276
dark	1274
suit	1267
race	1267
dirt	1265
being	1249
